0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,target
-2.1201026,1.0914372,0.15232855,0.40234765,1.9287587,0.49070525,0.92629784,0.07035449,1.2366633,-0.35178897,-0.504185,0.5297478,-1.2874845,0.5528984,-0.41059825,1.1330547,8
-1.970893,1.0291309,0.28175715,0.28400832,1.7288626,0.48830655,0.760537,0.19314194,0.7193114,-0.379418,-0.4605114,0.59320676,-0.82558554,0.3725476,-0.48417532,0.89259106,8
-1.2591609,-0.9548997,-1.3063062,1.0155466,-0.613837,0.8812729,1.6859117,0.7493067,-0.18701251,-0.515674,-0.16097492,0.10871952,-0.24161834,-0.6369585,0.87775576,-0.634496,17
-1.1039315,-1.1150739,-1.4989415,1.5180783,-0.70678794,1.3634399,1.0030338,1.4566523,-0.16074629,-0.48156407,-1.0174204,-0.48430136,0.080942124,-0.4964947,0.44238082,-0.2589751,17
-1.4477557,-0.09458113,-0.7237236,1.2639219,-0.25069743,0.386268,1.6234088,1.1340904,-0.36541736,-0.5886557,0.16864143,0.41240653,-0.8667414,-0.24678083,1.994409,-1.0153786,6
-1.2906392,-1.0579838,-1.3874184,1.150097,-0.64379114,1.0041293,1.7707821,0.55870044,-0.04221281,-0.5573227,-0.08163723,0.069313094,-0.31179634,-0.7158584,1.1841168,-0.84403354,16
-0.7171625,-0.38638756,-0.8318726,1.6923729,-0.38427168,0.5455137,1.4135233,0.6919633,-0.012215236,-0.34024104,-0.82297134,0.58335954,-0.47782275,-0.76596457,-0.3395002,0.16355155,17
-1.3462813,-1.261149,-1.1918737,0.9012501,0.110233985,-0.292655,2.1514144,-0.015019383,-0.39608508,-0.9908137,-1.0935221,-0.3756289,0.7370557,-0.53354144,0.6734297,-1.0863204,16
-1.1675909,-0.6653409,-1.6562728,1.109145,-0.40049443,1.6943921,0.79661554,0.20977208,-0.48109156,-0.62104183,-0.4095699,-0.9454558,-0.7723271,-0.66649145,0.21102695,-0.583774,17
-1.3370137,-1.2828964,-1.4590359,1.0836653,0.33406866,1.5627515,2.4321527,0.36807394,0.008575459,-0.81499505,0.3109703,-0.15928349,-0.27494013,0.01980078,0.4502677,-0.960032,16
-1.7663307,-0.42308918,-0.6556717,0.97458154,-0.22837207,0.3669643,1.2932173,1.3605705,-0.0984238,-0.4303508,0.60346997,0.08813564,-0.24429342,-0.7459246,1.6810519,-0.33760884,14
-1.6597015,-1.010427,-1.3239464,0.4457279,-0.93411225,1.1903846,1.3949145,-0.215423,-0.2499388,-1.212954,-0.5449152,-0.45451516,0.40712965,-0.2995581,0.8781742,-0.2887574,17
-2.0339434,-0.89368886,-1.6550953,0.5607813,-1.416053,0.87187415,1.4230345,0.30296707,-0.33285916,-0.39240953,-0.96617115,0.0036574432,-0.8714917,0.09323731,0.53345186,-0.025730727,17
-1.926176,1.3660458,-1.1323435,0.86139137,0.65131056,-1.6485972,0.0913819,-0.615303,0.08208521,-0.45766222,-1.1523035,-1.3248527,-1.2888935,2.436568,0.4408106,1.0768226,3
-1.6749823,1.0940936,-0.7358021,0.4941092,-0.3211958,-1.0445797,-0.28474796,-0.8692038,-0.22652304,-0.5773414,-1.4034462,-2.521837,-1.2372142,2.325238,0.73187405,1.2074212,3
-2.3323565,1.4942393,-0.8602017,0.82667494,0.8491915,-1.9943699,0.22724678,-0.16264346,0.39770925,-0.33645332,-0.7739685,-0.77843267,-1.1538513,2.3022072,0.86400676,0.74230266,3
-2.307679,0.92649627,-0.6702018,0.8298852,0.65925556,-1.691031,0.37579548,-0.07724527,0.2579678,-0.34906083,-0.66392124,-0.42729178,-1.0014802,2.4559023,0.5285552,0.45780656,3
-2.2257543,1.399501,-0.6205066,0.87288463,0.83838755,-1.8573525,0.48797604,-0.60793346,0.36530837,-0.6823305,-1.2577186,-0.4643063,-1.2761925,2.1505623,0.43482158,0.55592257,3
-1.9680586,1.1536903,-0.485953,0.6819091,0.9971334,-1.3316332,0.2837654,-0.31979156,0.19232856,-0.27809647,-0.45124936,-0.9362964,-1.3259987,2.5414927,0.685579,0.029517006,3
-1.4360998,-0.022002699,-0.6336853,1.2053611,0.67487854,-1.6623646,0.3963209,0.084366634,-0.28438848,-0.7532191,-1.6673396,-0.91143626,-1.4753387,2.5206938,0.37173653,1.3978114,3
-1.3756138,1.3215864,-0.959749,1.4535282,1.3536422,-1.1418744,-0.036238458,-1.3633344,-0.44872415,-0.95837075,-1.4340227,-1.0505964,-1.3956141,2.545366,0.39277482,1.2178559,3
-2.2493403,0.901342,-0.44104528,0.07663214,-0.25333467,1.3916876,0.82736605,-0.5995469,-1.0683852,0.3159695,-0.15796527,-1.405778,-0.33162633,0.3079896,-0.62210417,0.7387386,17
-2.5034485,1.3771929,-0.4573152,0.3647198,-0.12642021,1.4586701,0.71895266,-0.10268841,-1.2825294,-0.31961617,-0.0660549,-1.2229898,-0.4158797,0.5932456,-0.8061558,0.41904742,17
-2.48542,0.7866765,-0.7069207,0.13094646,0.43191096,0.8889849,0.60725284,-0.48573047,-0.8531668,0.19965212,-0.090903625,-1.3483809,-0.41000757,-0.29378265,-1.000834,0.04313596,17
-1.4397106,0.6702641,0.008964383,0.50372976,0.09359738,0.48013803,1.1298767,-1.3118247,-1.0994546,0.31457514,-0.32311514,-0.7020582,-1.2664696,0.19409119,-0.7472012,0.97498024,5
-2.2364984,0.69973445,-0.5293598,0.21699007,0.23725069,1.4973997,0.4582438,-0.009396569,-1.4830196,0.1775212,-0.47158703,-1.6198318,0.0070800195,0.05778857,-0.5668524,0.5578966,17
-2.3903987,1.1572121,-0.47416702,0.1719775,0.24547824,1.2359844,0.7267281,-0.27348915,-1.378871,0.06636215,-0.1815625,-1.3911641,-0.30463293,0.13335823,-0.7440161,0.38459307,17
-2.200925,1.3389769,-0.34997472,0.04464757,-0.14734411,0.958082,0.7683721,-0.16937274,-1.2918146,0.21680881,-0.19945507,-0.8136567,-0.47629198,-0.072392456,-0.4504638,0.30059463,14
-1.2874279,-0.3752423,-0.65238684,-0.059350807,0.19500342,1.4244153,1.2421563,-0.030457867,-0.6799009,0.048430063,-0.67552006,-1.2908899,-0.38944924,-0.5186452,-0.4352906,0.7144884,17
-1.5456572,0.5022034,-0.34549344,0.3052481,-0.08462646,1.112088,1.2080928,-0.73986554,-1.0836351,0.28886005,-0.7279172,-1.3817152,0.09889982,-0.09340264,-0.67686737,0.44409364,17
-2.5797122,1.0251039,-0.058548182,0.10402327,-1.3545115,1.8718026,0.315477,-0.38471258,-0.8865556,0.13529924,-1.2929235,-1.954867,-0.10498419,0.98754436,-0.21843593,1.0685295,17
-2.0858386,0.60831165,-0.72589236,0.31911722,0.22038795,1.490189,0.5859935,0.15842208,-1.2234071,0.018575288,-0.28161454,-1.2891831,-0.17295615,-0.23781042,-0.74923563,0.58916634,17
-2.6305292,-0.14502005,-0.4989483,0.12505239,-0.5252541,2.275293,1.337662,-0.6408766,-0.53151894,0.396264,-0.4096487,-1.1254218,0.2623829,0.6687453,-0.33494225,-0.35802236,17
-1.1797502,0.82490456,-1.0004278,0.19088401,0.0829877,1.3080631,0.5456907,0.10427163,-0.8005616,-0.17915699,-0.49516124,-1.5591143,0.1251163,0.33220348,-0.06934656,0.16005065,17
-1.372352,1.0164206,-0.60825163,0.946643,-0.14366008,1.2921062,1.0836596,-0.67504257,-0.6224833,0.56245154,-0.09383437,-1.0512254,0.3969149,-0.04193787,-0.75813293,0.9972969,17
-2.0689194,1.1345923,-0.72676736,0.43221882,0.19310434,1.5941517,0.54832804,-0.21171995,-1.3950055,0.096742935,-0.11725362,-1.4170258,-0.3087442,0.04632533,-0.47335297,0.3377034,17
-1.9221696,0.80006105,-0.5801671,-0.09797516,0.17365235,0.8861674,1.2438116,-0.9370963,-1.2266618,0.42807364,-0.5966563,-1.2774206,-0.3723713,-0.028325139,-0.5305994,0.42255557,17
-2.6432111,0.999911,-1.0863464,0.4617321,0.30751282,1.0893735,0.56016433,-0.48874035,-0.80198646,0.059501715,0.2583373,-1.555079,-0.4261998,0.18366395,-1.2254013,0.13693444,17
-2.2827537,0.9946876,-0.5474889,0.20496109,0.1401366,1.4080871,0.7415821,-0.40653378,-1.5480852,0.13698943,-0.41357493,-1.2693435,-0.21491694,0.01902836,-0.50539595,0.45938265,17
-1.6429883,0.8749975,-0.8335466,0.22467603,0.27968422,1.4131985,0.88947165,-0.2992518,-1.479257,0.017222568,-0.48231876,-1.2018547,0.020901604,-0.30261746,-0.10860245,0.5074865,17
-1.4794511,-0.31158763,0.41557613,0.20092995,0.5641727,-0.12714747,1.4396582,-1.9471812,2.0917096,-0.28084272,-1.2787597,-2.0486805,-1.512454,-0.17810225,0.5875245,1.5205535,5
-1.1988873,-0.5316196,0.835771,0.5330926,0.8546849,-0.2702113,1.8560895,-2.1108212,1.7591851,0.025578856,-1.2946719,-2.3836906,-1.5208968,-0.38452014,0.7602503,1.9200678,5
-1.1495202,0.54186505,0.82957345,0.37630695,0.78009677,0.6564949,0.9239621,0.117319405,-0.7167773,-1.5230708,0.55858773,-1.374075,-0.044516012,0.003848165,-0.10643051,0.18085314,17
-0.6544955,0.34358233,0.63701695,0.21532811,0.7349122,0.31894127,0.75507885,0.066053145,-0.5887051,-1.3629837,0.29264516,-1.2590564,-0.07550849,-0.058935463,-0.014276722,0.162681,14
-2.6631348,1.2324097,-1.8007517,1.2260268,1.0490257,-1.7848597,-0.0050474238,-0.25595164,-0.118894555,-0.8407503,-0.8905508,0.28492168,-0.75501823,1.3798679,-0.008875788,0.38221824,12
-1.7901858,0.09925454,-0.31416723,1.0168986,0.39982256,-1.6704046,0.77797645,-0.1529188,0.30997044,-1.1953115,-1.4427994,-0.5736037,-1.3931354,2.4123628,0.48798302,0.18288915,3
-2.217008,0.20288138,-0.10837046,0.6677036,0.44098794,-1.8498471,0.52302814,0.26047206,0.23747097,-0.84541595,-1.1486584,-0.81114656,-1.5468289,2.377094,0.8373974,0.16517776,3
-1.8958265,0.35273266,-0.6968779,0.85290563,0.77212554,-2.1239944,0.67909867,0.15445797,0.21494937,-0.83479553,-0.8670684,-0.76842105,-1.4465284,1.9228576,0.6133951,0.15891245,3
