	clustering coefficient
YJR144W	0.16774193548387098
YLR204W	0.3333333333333333
YCR028C-A	0.17884322678843226
YKR016W	0.03180367558049962
YGR072W	0.6111111111111112
YBR290W	0.26955602536997886
YCR093W	0.18557692307692308
YGL178W	0.27666666666666667
YBR057C	0.06556776556776557
YKR022C	0.13725490196078433
YGL016W	0.13768115942028986
YHR198C	0.4666666666666667
YML064C	0.04730052556139513
YKL198C	0.20952380952380953
YDR447C	0.41945251937984496
YPR049C	0.10796221322537113
YDL185W	0.13660578386605784
YKL029C	0.2473993668023519
YDR176W	0.350177304964539
YHR041C	0.4250980392156863
YOR328W	0.15608465608465608
YIL159W	0.13652482269503546
YOL069W	0.10924226979272851
YDR128W	0.24242424242424243
YMR106C	0.07531531531531531
YDL140C	0.11768507638072856
YCL029C	0.10163934426229508
YPR199C	0.2475609756097561
YDL116W	0.33098039215686276
YML103C	0.35135135135135137
YPL260W	0.38095238095238093
YML093W	0.32688172043010755
YOR304W	0.4523809523809524
YPL016W	0.2576530612244898
YDR337W	0.5952380952380952
YMR188C	0.56006006006006
YGL123W	0.3966165413533835
YHR005C-A	0.4
YHL001W	0.6361935311414061
YMR242C	0.3673229995810641
YGL115W	0.12307692307692308
YPR007C	0.19230769230769232
YDL207W	0.30014224751066854
YKL068W	0.2104499274310595
YBR162W-A	0.4666666666666667
YBL045C	0.09212121212121212
YGR084C	0.4794871794871795
YNL213C	0.6666666666666666
YDR381W	0.06383243596526719
YER063W	0.4
YBR154C	0.2937464142283419
YHR143W-A	0.41019607843137257
YPL129W	0.24493034738141423
YDR466W	0.06507936507936508
YLR196W	0.1762414800389484
YMR142C	0.4776797647687784
YOR204W	0.10068420061515285
YJR050W	0.6956521739130435
YMR213W	0.43246753246753245
YPR079W	0.20476190476190476
YPL146C	0.09469290399522957
YOR162C	0.15151515151515152
YDL100C	0.07993966817496229
YGL020C	0.4666666666666667
YKL182W	0.26955602536997886
YBL079W	0.38636363636363635
YFR002W	0.32007400555041626
YEL063C	0.16968325791855204
YER030W	0.35
YKL174C	0.3333333333333333
YHR052W	0.2943323314727351
YOL062C	0.4444444444444444
YOL113W	0.03696741854636591
YDR388W	0.04364326375711575
YOR117W	0.059666259666259665
YJR002W	0.30725034199726403
YLR222C	0.42042606516290726
YLR029C	0.487256371814093
YHR096C	0.3125
YNL219C	0.39285714285714285
YKR048C	0.08941877794336811
YOR061W	0.14748156480439945
YCR028C	0.23809523809523808
YHR200W	0.05104370292400858
YLR061W	0.3742690058479532
YLL011W	0.4962292609351433
YDR406W	0.2878787878787879
YLR055C	0.24634858812074
YCL043C	0.08374384236453201
YIR001C	0.18
YDL225W	0.24324324324324326
YDL031W	0.5028161802355351
YLL045C	0.41073961499493417
YPR103W	0.3212121212121212
YPR057W	0.8076923076923077
YKL211C	0.26495726495726496
YER149C	0.25274725274725274
YER021W	0.19539110678351185
YOR128C	0.23333333333333334
YER175C	0.8333333333333334
YJL002C	0.28078817733990147
YML019W	0.6263736263736264
YBR078W	0.5111111111111111
YBL007C	0.060849056603773585
YDL145C	0.16666666666666666
YGL025C	0.22344161545215102
YLR342W	0.14519056261343014
YOR005C	0.23157894736842105
YKL104C	0.19924812030075187
YPL153C	0.05128205128205128
YIR033W	0.1724137931034483
YGL150C	0.4268292682926829
YBR095C	0.29545454545454547
YNL097C	0.41333333333333333
YFL039C	0.11066887783305694
YGL116W	0.12692307692307692
YJL111W	0.34623655913978496
YDR384C	0.0
YNR060W	0.0
YDR064W	0.37498835150498555
YDR471W	0.5817628022082619
YBR126C	0.13636363636363635
YDR074W	0.3157894736842105
YBL039C	0.23905723905723905
YMR193W	0.5663865546218487
YPR125W	0.34980392156862744
YDL099W	0.15555555555555556
YDR364C	0.5726495726495726
YLL036C	0.18472690913635795
YGR224W	0.13333333333333333
YLR080W	0.19047619047619047
YDR227W	0.13537810682178741
YDR507C	0.10645894190197988
YOR288C	0.18181818181818182
YBR168W	0.2857142857142857
YDR363W-A	0.31529411764705884
YNL047C	0.24183006535947713
YER022W	0.3615819209039548
YPR080W	0.10374193548387096
YBR002C	0.38461538461538464
YBR177C	0.1724137931034483
YDR251W	0.23809523809523808
YJR059W	0.024923181973369752
YFL004W	0.42857142857142855
YEL046C	0.2987012987012987
YMR032W	0.10787942887361185
YBR218C	0.32727272727272727
YLR430W	0.1357142857142857
YMR081C	0.5
YPL203W	0.12658227848101267
YDL017W	0.09494949494949495
YBR081C	0.10699617124956491
YDL064W	0.057455708661417325
YNL014W	0.14492753623188406
YML109W	0.16073968705547653
YMR273C	0.2222222222222222
YDR423C	0.4
YEL051W	0.193815987933635
YPL012W	0.2762301918265221
YHR029C	0.25757575757575757
YJL146W	0.25757575757575757
YIL136W	0.3
YKL098W	0.0
YDL220C	0.06666666666666667
YLR233C	0.09116809116809117
YMR233W	0.5164835164835165
YOL006C	0.22060957910014514
YMR168C	0.12299465240641712
YPL018W	0.11227722772277228
YJL153C	0.18421052631578946
YBR143C	0.18501387604070305
YJR070C	0.1736842105263158
YEL048C	0.24183006535947713
YKR068C	0.3333333333333333
YNL101W	0.19663865546218487
YNL197C	0.018282688185600807
YHR127W	0.3333333333333333
YOR014W	0.17989417989417988
YNL026W	0.4222222222222222
YBR207W	0.16666666666666666
YEL013W	0.13360323886639677
YDR328C	0.08722741433021806
YJR090C	0.14358974358974358
YBR189W	0.3745806451612903
YJR145C	0.32349518671321276
YDR180W	0.20948616600790515
YDR365C	0.26573426573426573
YKL084W	0.3333333333333333
YFL017W-A	0.4985507246376812
YGR091W	0.38316498316498315
YBR130C	0.1746880570409982
YJR132W	0.1935483870967742
YML085C	0.11893369788106631
YOR149C	1.0
YGL234W	0.23809523809523808
YDL136W	0.5277968428277282
YML063W	0.4608823137411702
YNL124W	0.15591397849462366
YKR020W	0.3333333333333333
YGL048C	0.19057423930450698
YGR103W	0.27712418300653596
YHL007C	0.05611088897774224
YOL091W	0.10194805194805195
YFL044C	0.13749338974087785
YHR129C	0.3333333333333333
YGL075C	0.14799154334038056
YMR111C	0.13333333333333333
YER050C	0.46984126984126984
YML068W	0.3
YDR175C	0.6460317460317461
YDL229W	0.02600673347536758
YNL112W	0.24176231025546094
YDL103C	0.16842105263157894
YMR131C	0.24210526315789474
YJL053W	0.45454545454545453
YML001W	0.178743961352657
YOR341W	0.2796780684104628
YAL001C	0.24285714285714285
YDL134C	0.1471264367816092
YDL191W	0.2574679943100996
YLR172C	0.2857142857142857
YFR015C	0.29239766081871343
YPL204W	0.04554079696394687
YDR190C	0.19682539682539682
YGR086C	0.13534218590398367
YJL057C	0.043010752688172046
YDL203C	0.17647058823529413
YGR058W	0.3090909090909091
YCR052W	0.48043184885290147
YLR330W	0.20672268907563024
YPR081C	0.3111111111111111
YDR405W	0.5218390804597701
YDR192C	0.25925925925925924
YKR018C	0.5636363636363636
YPR106W	0.07936507936507936
YEL032W	0.27926829268292686
YNL273W	0.34210526315789475
YDR407C	0.5220588235294118
YOR115C	0.39766081871345027
YDL153C	0.08215488215488216
YCL030C	0.43956043956043955
YKL114C	0.27205882352941174
YGL134W	0.14761904761904762
YJL165C	0.10984848484848485
YKL012W	0.06018882769472856
YCL024W	0.1334841628959276
YKL181W	0.17825311942959002
YHR066W	0.4358148893360161
YCR057C	0.3137711535475858
YHR120W	0.23333333333333334
YLL024C	0.04278945809890435
YDR040C	0.6666666666666666
YGR129W	0.5869565217391305
YLR147C	0.37576821773485514
YLR433C	0.18823529411764706
YNL313C	0.329004329004329
YLR275W	0.43005952380952384
YPL036W	0.24242424242424243
YLR058C	0.1870967741935484
YFR048W	0.4666666666666667
YPR133C	0.5473684210526316
YJL033W	0.24162679425837322
YLR185W	0.46153846153846156
YBL025W	0.525
YNL284C	0.36212624584717606
YOR201C	0.14285714285714285
YKL129C	0.19387755102040816
YLR176C	0.38596491228070173
YMR093W	0.4578005115089514
YOR153W	0.11549295774647887
YOR306C	0.0
YMR190C	0.16923076923076924
YKL210W	0.13306122448979593
YOL021C	0.2901484480431849
YPR190C	0.5276653171390013
YDR440W	0.32679738562091504
YLR429W	0.10036886041545331
YDL236W	0.34615384615384615
YGR199W	0.6666666666666666
YPL026C	0.048051948051948054
YBR080C	0.2501747030048917
YER026C	0.2549019607843137
YPL274W	0.31521739130434784
YPL209C	0.05378151260504202
YFL045C	0.2021505376344086
YML030W	0.20512820512820512
YOR092W	0.2857142857142857
YPR188C	0.4222222222222222
YGL172W	0.2346723044397463
YKL057C	0.5876923076923077
YER136W	0.30952380952380953
YML046W	0.5883940620782726
YER013W	0.2969472710453284
YLR008C	0.45098039215686275
YBR109C	0.06622988178322177
YJL115W	0.21644042232277527
YFR032C-A	0.7047619047619048
YOR340C	0.36655592469545956
YBR049C	0.28378378378378377
YGL244W	0.3352272727272727
YOR123C	0.326984126984127
YJL034W	0.1007607514361124
YJR035W	0.10317460317460317
YGR032W	0.3
YDR480W	0.10846560846560846
YLR304C	0.17647058823529413
YDL092W	0.2766798418972332
YAL016W	0.14202898550724638
YPL256C	0.141156462585034
YBR183W	0.2907563025210084
YOL132W	0.11692307692307692
YIR009W	0.1970310391363023
